candidate,class,precision,recall,f1,support
classblend_68_research_material_stack_QSO_a0p0250,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_GALAXY_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_GALAXY_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_GALAXY_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_GALAXY_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_GALAXY_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_QSO_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_QSO_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_QSO_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_QSO_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_QSO_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_QSO_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0050,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_STAR_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0050,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0100,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_STAR_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0100,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0150,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_STAR_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0150,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0200,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
classblend_56_te_disagreement_STAR_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_56_te_disagreement_STAR_a0p0200,STAR,0.8835572897257722,0.9744934964460132,0.9268001057702256,82724
classblend_56_te_disagreement_STAR_a0p0250,GALAXY,0.9907967494786101,0.960268093673837,0.9752935779446248,377480
